State_Code,State_Name,State_Type,Country_Code,Country_Name,Species,Alt,Rain,pH,Temp_Min,Temp_Max,Texture,Fertility,Cycle,Growth
TZA.14_1,Morogoro,Region,TZA,Tanzania,Abelmoschus esculentus,2,1,2,2,2,2,1,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Abelmoschus manihot,2,2,2,1,2,1,1,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Abies balsamea,2,1,2,2,0,1,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Abies concolor,2,1,2,2,0,1,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Abies pindrow,2,1,2,2,1,0,1,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Abroma augustum,2,0,2,1,2,1,1,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia abyssinica,2,1,2,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia acuminata,0,0,1,2,1,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia ammobia,2,0,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia ampliceps,0,0,0,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia ancistrocarpa,0,0,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia aneura,2,0,2,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia argyrodendron,0,0,1,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia aulacocarpa,2,1,2,2,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia auriculiformis,2,2,1,1,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia bidwillii,0,0,2,1,2,1,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia brachystachya,2,0,2,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia brassii,0,2,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia burrowii,0,0,2,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia calcicola,2,0,1,1,2,1,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia cambagei,0,0,1,2,2,1,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia catechu,2,2,2,1,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia cincinnata,2,1,2,1,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia coriacea,2,0,0,1,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia cowleana,2,0,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia crassicarpa,0,1,1,1,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia cyclops,0,0,0,2,1,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia dealbata,2,1,2,2,1,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia decurrens,2,2,2,2,1,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia difficilis,0,1,2,1,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia falciformis,2,0,2,2,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia farnesiana,2,2,1,2,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia fasciculifera,0,0,2,2,2,2,1,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia flavescens,2,2,2,1,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia glaucocaesia,0,0,0,2,2,1,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia glaucocarpa,0,0,2,2,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia haematoxylon,2,0,1,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia harpophylla,0,0,2,2,1,0,1,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia holosericea,2,1,2,1,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia irrorata,2,0,2,2,2,1,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia jennerae,2,0,2,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia jensenii,2,0,2,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia julifera ssp. gilbertensis,0,0,2,1,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia julifera ssp. julifera,0,0,2,2,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia laeta,2,0,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia latzii,0,0,0,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia leptocarpa,2,2,2,1,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia leucophloea,2,2,1,1,2,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia ligulata,2,0,0,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia macdonnelliensis,2,0,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia maidenii,2,1,2,2,2,1,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia mangium,2,1,2,1,2,1,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia mearnsii,2,2,2,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia melanoxylon,2,2,1,2,1,2,1,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia millifera,2,0,0,1,2,1,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia monticola,2,0,1,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia murrayana,2,0,2,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia neriifolia,2,0,2,1,2,2,1,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia nilotica,2,1,1,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia oraria,2,1,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia pachyacra,0,0,1,2,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia pendula,0,0,0,2,2,0,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia plectocarpa,0,2,2,1,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia podalyriifolia,2,0,2,2,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia polystachya,0,2,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia pycnantha,2,2,1,2,1,2,2,2,2
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia rothii,2,1,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia salicina,2,0,1,1,2,0,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia saligna,2,0,2,2,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia senegal,2,1,2,1,2,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia seyal,0,2,1,1,2,1,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia shirleyi,0,0,2,2,2,2,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia silvestris,2,0,1,2,1,2,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia simsii,2,2,2,1,2,2,1,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia stenophylla,2,0,0,2,2,0,2,2,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia synchronicia,0,0,0,2,1,0,2,0,0
TZA.14_1,Morogoro,Region,TZA,Tanzania,Acacia tephrina,0,0,0,1,2,0,2,0,0
