State_Code,State_Name,State_Type,Country_Code,Country_Name,Alt,Rain,pH,Temp_Min,Temp_Max,Texture,Fertility,Cycle
GRL.2_1,Northeast Greenland National Park,National Park,GRL,Greenland,1599.525765,457.8100983,5.4,-21.9194237025,-16.0749344375,light,moderate,0.0
CAN.8_1,Nunavut,Territory,CAN,Canada,322.1410497,216.6149681,5.527092846270928,-0.7443304475000003,5.9903547615,light,moderate,7.25
RUS.4_1,Arkhangel'sk,Region,RUS,Russia,171.4329366,472.5853972,5.130864197530865,4.197719145500001,11.1490682105,light,low,119
RUS.35_1,Krasnoyarsk,Territory,RUS,Russia,297.7884061,387.007571,5.987341772151898,3.6240614595,12.8244958305,light,moderate,119
GRL.3_1,Qaasuitsup,Commune,GRL,Greenland,1425.953174,258.9020163,5.4,-12.4230065265,-6.5230290895,light,moderate,0.0
CAN.6_1,Northwest Territories,Territory,CAN,Canada,345.4323297,264.3495016,5.565613147914032,4.0734085105,12.9744766575,organic,low,89
RUS.60_1,Sakha,Republic,RUS,Russia,386.9984136,288.6795848,5.992842323651451,5.43395561,15.91998299,light,moderate,119
RUS.80_1,Yamal-Nenets,Autonomous Province,RUS,Russia,56.01257614,423.1640794,5.338548752834468,4.833965882999999,13.099363346999999,organic,low,119
GRL.5_1,Sermersooq,Commune,GRL,Greenland,2024.295826,1019.074201,5.400000000000001,-21.993372439,-15.124819301,light,moderate,0.0
RUS.12_1,Chukot,Autonomous Province,RUS,Russia,353.9151214,328.5067865,6.671555555555554,2.083596076,10.721320838,light,moderate,89
USA.2_1,Alaska,State,USA,United States,459.0807349,521.3873883,5.649879807692309,4.154665984,13.10632514,heavy,moderate,119
NOR.5_1,Finnmark,County,NOR,Norway,326.2615012,521.5254237,5.21,4.4213888215,11.2574385365,light,moderate,119
RUS.46_1,Nenets,Autonomous Province,RUS,Russia,85.65143699,453.0501105,5.061904761904762,3.6206624705,11.275474387500001,organic,low,119
NOR.17_1,Troms,County,NOR,Norway,506.875,762.0138889,6.4,1.9131004775,8.2248271525,light,moderate,119
FIN.2_1,Lapland,Province,FIN,Finland,249.0184941,521.8652576,4.822058823529411,7.150835294,15.791157586,organic,low,149
