temp_difference,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
5.844489265,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
6.734685209,CAN,Canada,CAN.8_1,Nunavut,Territory
6.951349065,RUS,Russia,RUS.4_1,Arkhangel'sk,Region
9.200434371,RUS,Russia,RUS.35_1,Krasnoyarsk,Territory
5.899977437,GRL,Greenland,GRL.3_1,Qaasuitsup,Commune
4.429017668,SJM,Svalbard and Jan Mayen,SJM.2_1,Svalbard,Territory
8.901068147,CAN,Canada,CAN.6_1,Northwest Territories,Territory
10.48602738,RUS,Russia,RUS.60_1,Sakha,Republic
8.265397464,RUS,Russia,RUS.80_1,Yamal-Nenets,Autonomous Province
6.868553138,GRL,Greenland,GRL.5_1,Sermersooq,Commune
8.637724762,RUS,Russia,RUS.12_1,Chukot,Autonomous Province
8.951659156,USA,United States,USA.2_1,Alaska,State
3.945215025,SJM,Svalbard and Jan Mayen,SJM.1_1,Jan Mayen,Territory
6.836049715,NOR,Norway,NOR.5_1,Finnmark,County
7.654811917,RUS,Russia,RUS.46_1,Nenets,Autonomous Province
6.311726675,NOR,Norway,NOR.17_1,Troms,County
8.640322292,FIN,Finland,FIN.2_1,Lapland,Province
7.070556046,RUS,Russia,RUS.45_1,Murmansk,Region
11.23376912,CAN,Canada,CAN.13_1,Yukon,Territory
5.515085176,NOR,Norway,NOR.10_1,Nordland,County
8.717154167,SWE,Sweden,SWE.10_1,Norrbotten,County
8.708552266,RUS,Russia,RUS.32_1,Komi,Republic
7.516219637,GRL,Greenland,GRL.4_1,Qeqqata,Commune
7.770815573,RUS,Russia,RUS.26_1,Karelia,Republic
4.668536872,ISL,Iceland,ISL.7_1,Vestfirðir,Region
5.049323222,ISL,Iceland,ISL.2_1,Hálshreppur,Region
8.227666676,FIN,Finland,FIN.3_1,Oulu,Province
8.334759916,SWE,Sweden,SWE.18_1,Västerbotten,County
10.23192935,RUS,Russia,RUS.40_1,Maga Buryatdan,Region
5.79455092,ISL,Iceland,ISL.4_1,Norðurland vestra,Region
4.777271703,ISL,Iceland,ISL.1_1,Austurland,Region
9.757999463,RUS,Russia,RUS.30_1,Khanty-Mansiy,Autonomous Province
5.096007333,ISL,Iceland,ISL.8_1,Vesturland,Region
6.148781713,NOR,Norway,NOR.9_1,Nord-Trøndelag,County
8.511486865,SWE,Sweden,SWE.6_1,Jämtland,County
5.019536245,ISL,Iceland,ISL.5_1,Suðurland,Region
8.598820454,RUS,Russia,RUS.24_1,Kamchatka,Territory
5.070746667,ISL,Iceland,ISL.3_1,Höfuðborgarsvæði,Region
6.688434376,NOR,Norway,NOR.15_1,Sør-Trøndelag,County
12.46237957,RUS,Russia,RUS.18_1,Irkutsk,Region
7.97523692,FIN,Finland,FIN.5_1,Western Finland,Province
5.03201398,ISL,Iceland,ISL.6_1,Suðurnes,Independent Town
8.669221197,SWE,Sweden,SWE.19_1,Västernorrland,County
7.732227253,FIN,Finland,FIN.1_1,Eastern Finland,Province
8.951719864,CAN,Canada,CAN.11_1,Québec,Province
5.118641666,NOR,Norway,NOR.8_1,Møre og Romsdal,County
