,dry_season_type,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
GRL.2_1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park,0.9806590257879656
CAN.8_1,CAN,Canada,CAN.8_1,Nunavut,Territory,1.2179980750721848
RUS.4_1,RUS,Russia,RUS.4_1,Arkhangel'sk,Region,1.6518105849582172
RUS.35_1,RUS,Russia,RUS.35_1,Krasnoyarsk,Territory,1.9037871033776868
GRL.3_1,GRL,Greenland,GRL.3_1,Qaasuitsup,Commune,1.021180030257186
SJM.2_1,SJM,Svalbard and Jan Mayen,SJM.2_1,Svalbard,Territory,0.9333333333333333
CAN.6_1,CAN,Canada,CAN.6_1,Northwest Territories,Territory,1.8063021316033365
RUS.60_1,RUS,Russia,RUS.60_1,Sakha,Republic,1.9689795918367348
RUS.80_1,RUS,Russia,RUS.80_1,Yamal-Nenets,Autonomous Province,2.0
GRL.5_1,GRL,Greenland,GRL.5_1,Sermersooq,Commune,1.002169197396963
RUS.12_1,RUS,Russia,RUS.12_1,Chukot,Autonomous Province,1.7525773195876289
USA.2_1,USA,United States,USA.2_1,Alaska,State,1.8924444444444444
NOR.5_1,NOR,Norway,NOR.5_1,Finnmark,County,1.9574468085106382
NOR.17_1,NOR,Norway,NOR.17_1,Troms,County,1.84
RUS.46_1,RUS,Russia,RUS.46_1,Nenets,Autonomous Province,2.0
FIN.2_1,FIN,Finland,FIN.2_1,Lapland,Province,2.0
RUS.45_1,RUS,Russia,RUS.45_1,Murmansk,Region,2.0
CAN.13_1,CAN,Canada,CAN.13_1,Yukon,Territory,1.9742857142857142
NOR.10_1,NOR,Norway,NOR.10_1,Nordland,County,1.6875
SWE.10_1,SWE,Sweden,SWE.10_1,Norrbotten,County,1.988235294117647
RUS.32_1,RUS,Russia,RUS.32_1,Komi,Republic,2.0
GRL.4_1,GRL,Greenland,GRL.4_1,Qeqqata,Commune,1.2142857142857142
ISL.7_1,ISL,Iceland,ISL.7_1,Vestfirðir,Region,2.0
ISL.2_1,ISL,Iceland,ISL.2_1,Hálshreppur,Region,1.8888888888888888
SWE.18_1,SWE,Sweden,SWE.18_1,Västerbotten,County,2.0
FIN.3_1,FIN,Finland,FIN.3_1,Oulu,Province,2.0
RUS.26_1,RUS,Russia,RUS.26_1,Karelia,Republic,1.8225806451612903
RUS.40_1,RUS,Russia,RUS.40_1,Maga Buryatdan,Region,1.98125
ISL.4_1,ISL,Iceland,ISL.4_1,Norðurland vestra,Region,2.0
ISL.1_1,ISL,Iceland,ISL.1_1,Austurland,Region,1.8666666666666667
ISL.8_1,ISL,Iceland,ISL.8_1,Vesturland,Region,1.75
RUS.30_1,RUS,Russia,RUS.30_1,Khanty-Mansiy,Autonomous Province,2.0
ISL.5_1,ISL,Iceland,ISL.5_1,Suðurland,Region,2.0
NOR.9_1,NOR,Norway,NOR.9_1,Nord-Trøndelag,County,2.0
SWE.6_1,SWE,Sweden,SWE.6_1,Jämtland,County,2.0
RUS.24_1,RUS,Russia,RUS.24_1,Kamchatka,Territory,1.9726027397260273
ISL.3_1,ISL,Iceland,ISL.3_1,Höfuðborgarsvæði,Region,2.0
NOR.15_1,NOR,Norway,NOR.15_1,Sør-Trøndelag,County,2.0
SWE.19_1,SWE,Sweden,SWE.19_1,Västernorrland,County,2.0
FIN.5_1,FIN,Finland,FIN.5_1,Western Finland,Province,2.0
FIN.1_1,FIN,Finland,FIN.1_1,Eastern Finland,Province,2.0
RUS.18_1,RUS,Russia,RUS.18_1,Irkutsk,Region,1.9824561403508771
CAN.11_1,CAN,Canada,CAN.11_1,Québec,Province,1.9300361881785284
NOR.8_1,NOR,Norway,NOR.8_1,Møre og Romsdal,County,2.0
GRL.1_1,GRL,Greenland,GRL.1_1,Kujalleq,Commune,1.096774193548387
NOR.11_1,NOR,Norway,NOR.11_1,Oppland,County,2.0
NOR.6_1,NOR,Norway,NOR.6_1,Hedmark,County,2.0
SWE.3_1,SWE,Sweden,SWE.3_1,Gävleborg,County,2.0
RUS.28_1,RUS,Russia,RUS.28_1,Khabarovsk,Territory,1.9655963302752293
NOR.14_1,NOR,Norway,NOR.14_1,Sogn og Fjordane,County,2.0
SWE.2_1,SWE,Sweden,SWE.2_1,Dalarna,County,2.0
FIN.4_1,FIN,Finland,FIN.4_1,Southern Finland,Province,2.0
RUS.66_1,RUS,Russia,RUS.66_1,Sverdlovsk,Region,2.0256410256410255
RUS.38_1,RUS,Russia,RUS.38_1,Leningrad,Region,1.8181818181818181
RUS.78_1,RUS,Russia,RUS.78_1,Vologda,Region,2.0
RUS.55_1,RUS,Russia,RUS.55_1,Perm',Territory,2.0
NOR.7_1,NOR,Norway,NOR.7_1,Hordaland,County,2.0
NOR.4_1,NOR,Norway,NOR.4_1,Buskerud,County,2.0
SWE.17_1,SWE,Sweden,SWE.17_1,Värmland,County,1.7333333333333334
RUS.31_1,RUS,Russia,RUS.31_1,Kirov,Region,2.0
RUS.69_1,RUS,Russia,RUS.69_1,Tomsk,Region,2.0050251256281406
CAN.5_1,CAN,Canada,CAN.5_1,Newfoundland and Labrador,Province,1.9428571428571428
GBR.3_1,GBR,United Kingdom,GBR.3_1,Scotland,Kingdom,1.8222222222222222
NOR.1_1,NOR,Norway,NOR.1_1,Akershus,County,2.0
SWE.20_1,SWE,Sweden,SWE.20_1,Västmanland,County,2.0
SWE.16_1,SWE,Sweden,SWE.16_1,Uppsala,County,2.0
ALA.6_1,ALA,Åland,ALA.6_1,Hammarland,Municipality,0.0
ALA.15_1,ALA,Åland,ALA.15_1,Sund,Municipality,0.0
