growing_period,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
1.017908309,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2.410972089,CAN,Canada,CAN.8_1,Nunavut,Territory
4.782729805,RUS,Russia,RUS.4_1,Arkhangel'sk,Region
4.571647902,RUS,Russia,RUS.35_1,Krasnoyarsk,Territory
1.114977307,GRL,Greenland,GRL.3_1,Qaasuitsup,Commune
0,SJM,Svalbard and Jan Mayen,SJM.2_1,Svalbard,Territory
4.154772938,CAN,Canada,CAN.6_1,Northwest Territories,Territory
4.774285714,RUS,Russia,RUS.60_1,Sakha,Republic
4.794326241,RUS,Russia,RUS.80_1,Yamal-Nenets,Autonomous Province
1.104121475,GRL,Greenland,GRL.5_1,Sermersooq,Commune
3.817869416,RUS,Russia,RUS.12_1,Chukot,Autonomous Province
4.920888889,USA,United States,USA.2_1,Alaska,State
5,NOR,Norway,NOR.5_1,Finnmark,County
4.76,NOR,Norway,NOR.17_1,Troms,County
5.112582781,RUS,Russia,RUS.46_1,Nenets,Autonomous Province
5.647058824,FIN,Finland,FIN.2_1,Lapland,Province
5.511811024,RUS,Russia,RUS.45_1,Murmansk,Region
4.474285714,CAN,Canada,CAN.13_1,Yukon,Territory
5.3125,NOR,Norway,NOR.10_1,Nordland,County
5.305882353,SWE,Sweden,SWE.10_1,Norrbotten,County
5.766990291,RUS,Russia,RUS.32_1,Komi,Republic
2.035714286,GRL,Greenland,GRL.4_1,Qeqqata,Commune
5,ISL,Iceland,ISL.7_1,Vestfirðir,Region
4.555555556,ISL,Iceland,ISL.2_1,Hálshreppur,Region
5.933333333,SWE,Sweden,SWE.18_1,Västerbotten,County
6.565217391,FIN,Finland,FIN.3_1,Oulu,Province
6.459677419,RUS,Russia,RUS.26_1,Karelia,Republic
4.503125,RUS,Russia,RUS.40_1,Maga Buryatdan,Region
5,ISL,Iceland,ISL.4_1,Norðurland vestra,Region
4.066666667,ISL,Iceland,ISL.1_1,Austurland,Region
5.375,ISL,Iceland,ISL.8_1,Vesturland,Region
5.975342466,RUS,Russia,RUS.30_1,Khanty-Mansiy,Autonomous Province
5.444444444,ISL,Iceland,ISL.5_1,Suðurland,Region
6.294117647,NOR,Norway,NOR.9_1,Nord-Trøndelag,County
5.9,SWE,Sweden,SWE.6_1,Jämtland,County
5.02739726,RUS,Russia,RUS.24_1,Kamchatka,Territory
6,ISL,Iceland,ISL.3_1,Höfuðborgarsvæði,Region
6.5,NOR,Norway,NOR.15_1,Sør-Trøndelag,County
6.625,SWE,Sweden,SWE.19_1,Västernorrland,County
7.032786885,FIN,Finland,FIN.5_1,Western Finland,Province
6.976744186,FIN,Finland,FIN.1_1,Eastern Finland,Province
5.787280702,RUS,Russia,RUS.18_1,Irkutsk,Region
5.521109771,CAN,Canada,CAN.11_1,Québec,Province
6.4,NOR,Norway,NOR.8_1,Møre og Romsdal,County
1.935483871,GRL,Greenland,GRL.1_1,Kujalleq,Commune
