,elevation,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
GRL.2_1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park,457.8100982663577
CAN.8_1,CAN,Canada,CAN.8_1,Nunavut,Territory,216.61496810164584
RUS.4_1,RUS,Russia,RUS.4_1,Arkhangel'sk,Region,472.5853972338372
RUS.35_1,RUS,Russia,RUS.35_1,Krasnoyarsk,Territory,387.00757104921183
GRL.3_1,GRL,Greenland,GRL.3_1,Qaasuitsup,Commune,258.90201633061156
SJM.2_1,SJM,Svalbard and Jan Mayen,SJM.2_1,Svalbard,Territory,447.9715224534502
CAN.6_1,CAN,Canada,CAN.6_1,Northwest Territories,Territory,264.3495015928476
RUS.60_1,RUS,Russia,RUS.60_1,Sakha,Republic,288.67958480645456
RUS.80_1,RUS,Russia,RUS.80_1,Yamal-Nenets,Autonomous Province,423.16407938691293
GRL.5_1,GRL,Greenland,GRL.5_1,Sermersooq,Commune,1019.0742006346107
RUS.12_1,RUS,Russia,RUS.12_1,Chukot,Autonomous Province,328.506786465303
USA.2_1,USA,United States,USA.2_1,Alaska,State,521.3873882820258
SJM.1_1,SJM,Svalbard and Jan Mayen,SJM.1_1,Jan Mayen,Territory,943.75
NOR.5_1,NOR,Norway,NOR.5_1,Finnmark,County,521.5254237288135
RUS.46_1,RUS,Russia,RUS.46_1,Nenets,Autonomous Province,453.05011053795135
NOR.17_1,NOR,Norway,NOR.17_1,Troms,County,762.0138888888889
FIN.2_1,FIN,Finland,FIN.2_1,Lapland,Province,521.8652575957727
RUS.45_1,RUS,Russia,RUS.45_1,Murmansk,Region,500.21389891696754
CAN.13_1,CAN,Canada,CAN.13_1,Yukon,Territory,374.54591513616214
NOR.10_1,NOR,Norway,NOR.10_1,Nordland,County,1281.43006993007
SWE.10_1,SWE,Sweden,SWE.10_1,Norrbotten,County,570.9769820971867
RUS.32_1,RUS,Russia,RUS.32_1,Komi,Republic,590.1554834054834
GRL.4_1,GRL,Greenland,GRL.4_1,Qeqqata,Commune,612.3573298429319
RUS.26_1,RUS,Russia,RUS.26_1,Karelia,Republic,589.812777284827
ISL.7_1,ISL,Iceland,ISL.7_1,Vestfirðir,Region,1006.125
ISL.2_1,ISL,Iceland,ISL.2_1,Hálshreppur,Region,821.124183006536
FIN.3_1,FIN,Finland,FIN.3_1,Oulu,Province,591.8369304556355
SWE.18_1,SWE,Sweden,SWE.18_1,Västerbotten,County,656.9705882352941
