GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN,pH
GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park,82.5,9.900000000000002,7.700000000000001,1.6999999999999997,10.0,5.4
CAN,Canada,CAN.8_1,Nunavut,Territory,78.75753424657533,11.360654490106548,9.971461187214613,1.6547031963470318,10.221461187214611,5.527092846270928
GRL,Greenland,GRL.3_1,Qaasuitsup,Commune,82.5,9.9,7.700000000000001,1.6999999999999997,10.0,5.4
RUS,Russia,RUS.35_1,Krasnoyarsk,Territory,47.273351099267146,30.058560959360424,22.67408394403731,2.846822118587608,13.79147235176549,5.987341772151898
CAN,Canada,CAN.6_1,Northwest Territories,Territory,56.630341340075844,23.671681415929203,19.7614412136536,9.366839443742098,16.553729456384325,5.565613147914032
RUS,Russia,RUS.4_1,Arkhangel'sk,Region,57.57777777777777,31.877366255144032,10.607407407407406,2.681481481481481,16.83127572016461,5.130864197530865
RUS,Russia,RUS.60_1,Sakha,Republic,49.326919087136915,25.82064315352697,24.85539419087137,1.6814782157676351,12.983402489626556,5.992842323651451
RUS,Russia,RUS.80_1,Yamal-Nenets,Autonomous Province,42.439909297052154,30.28390022675737,27.285941043083902,9.48562358276644,19.972789115646258,5.338548752834468
RUS,Russia,RUS.12_1,Chukot,Autonomous Province,55.09355555555555,21.337333333333326,23.56911111111111,2.479977777777777,13.24,6.671555555555554
GRL,Greenland,GRL.5_1,Sermersooq,Commune,82.5,9.9,7.7,1.7,10.0,5.400000000000001
USA,United States,USA.2_1,Alaska,State,38.217548076923066,22.911057692307693,38.88028846153846,2.569651442307692,12.088942307692308,5.649879807692309
NOR,Norway,NOR.5_1,Finnmark,County,67.00000000000003,27.450000000000006,5.7299999999999995,1.5819999999999996,15.5,5.21
RUS,Russia,RUS.46_1,Nenets,Autonomous Province,65.99047619047619,21.141904761904758,12.945714285714283,17.406761904761904,23.152380952380952,5.061904761904762
NOR,Norway,NOR.17_1,Troms,County,61.90000000000001,20.366666666666664,17.799999999999997,1.1966666666666665,12.666666666666666,6.3999999999999995
