wet_temp,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
-18.99717907,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2.623012157,CAN,Canada,CAN.8_1,Nunavut,Territory
7.673393678,RUS,Russia,RUS.4_1,Arkhangel'sk,Region
8.224278645,RUS,Russia,RUS.35_1,Krasnoyarsk,Territory
-9.473017808,GRL,Greenland,GRL.3_1,Qaasuitsup,Commune
-12.37919217,SJM,Svalbard and Jan Mayen,SJM.2_1,Svalbard,Territory
8.523942584,CAN,Canada,CAN.6_1,Northwest Territories,Territory
10.6769693,RUS,Russia,RUS.60_1,Sakha,Republic
8.966664615,RUS,Russia,RUS.80_1,Yamal-Nenets,Autonomous Province
-18.55909587,GRL,Greenland,GRL.5_1,Sermersooq,Commune
6.402458457,RUS,Russia,RUS.12_1,Chukot,Autonomous Province
8.630495562,USA,United States,USA.2_1,Alaska,State
-2.936607775,SJM,Svalbard and Jan Mayen,SJM.1_1,Jan Mayen,Territory
7.839413679,NOR,Norway,NOR.5_1,Finnmark,County
7.448068429,RUS,Russia,RUS.46_1,Nenets,Autonomous Province
5.068963815,NOR,Norway,NOR.17_1,Troms,County
11.47099644,FIN,Finland,FIN.2_1,Lapland,Province
9.977285171,RUS,Russia,RUS.45_1,Murmansk,Region
9.721056795,CAN,Canada,CAN.13_1,Yukon,Territory
1.336118157,NOR,Norway,NOR.10_1,Nordland,County
10.68811645,SWE,Sweden,SWE.10_1,Norrbotten,County
11.52478299,RUS,Russia,RUS.32_1,Komi,Republic
-2.700029575,GRL,Greenland,GRL.4_1,Qeqqata,Commune
11.71638117,RUS,Russia,RUS.26_1,Karelia,Republic
0.98434648,ISL,Iceland,ISL.7_1,Vestfirðir,Region
1.821919463,ISL,Iceland,ISL.2_1,Hálshreppur,Region
12.78447482,FIN,Finland,FIN.3_1,Oulu,Province
10.66061044,SWE,Sweden,SWE.18_1,Västerbotten,County
9.354566768,RUS,Russia,RUS.40_1,Maga Buryatdan,Region
3.983264121,ISL,Iceland,ISL.4_1,Norðurland vestra,Region
1.618092463,ISL,Iceland,ISL.1_1,Austurland,Region
14.44552407,RUS,Russia,RUS.30_1,Khanty-Mansiy,Autonomous Province
-1.078424505,ISL,Iceland,ISL.8_1,Vesturland,Region
5.456080832,NOR,Norway,NOR.9_1,Nord-Trøndelag,County
10.7691492,SWE,Sweden,SWE.6_1,Jämtland,County
2.053975669,ISL,Iceland,ISL.5_1,Suðurland,Region
6.516489341,RUS,Russia,RUS.24_1,Kamchatka,Territory
-1.223142017,ISL,Iceland,ISL.3_1,Höfuðborgarsvæði,Region
6.906624649,NOR,Norway,NOR.15_1,Sør-Trøndelag,County
14.08974194,RUS,Russia,RUS.18_1,Irkutsk,Region
12.74449122,FIN,Finland,FIN.5_1,Western Finland,Province
-0.2221622,ISL,Iceland,ISL.6_1,Suðurnes,Independent Town
11.65651597,SWE,Sweden,SWE.19_1,Västernorrland,County
13.99946183,FIN,Finland,FIN.1_1,Eastern Finland,Province
10.5178512,CAN,Canada,CAN.11_1,Québec,Province
0.808266157,NOR,Norway,NOR.8_1,Møre og Romsdal,County
-6.546499692,GRL,Greenland,GRL.1_1,Kujalleq,Commune
10.92194465,NOR,Norway,NOR.6_1,Hedmark,County
