type,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
A,53.3,44.3,17.2,17.1,29.5,38.6,5.2,5.2,1.74,0.63,0.17,0.08,37,29,8.7,8,34,22,0,0,1.3,1.3,14,12
AF,61.7,52.5,14.4,12.9,23.9,34.6,5.4,5.3,0.91,0.34,0.12,0.06,43,34,7.8,6.9,34,22,0,0,1.4,1.4,14,14
AF 1,81.1,75.5,8.7,8.9,10.2,15.6,5.7,5.5,0.35,0.2,0.07,0.03,47,43,4.4,4.6,38,26,0,0,1.7,1.6,14,9
AF 2,61.7,44.5,14.3,10.8,24,44.7,5.1,5.2,1.05,0.37,0.11,0.03,37,28,9.6,7.2,31,17,0,0,1.4,1.4,16,18
AF 3,21.3,13.1,25.7,24.4,52.9,62.3,5,4.9,1.85,0.58,0.15,0.1,42,23,12.5,11.1,27,16,0,0,1.2,1.2,13,9
AG,40.9,36.8,27.2,29.7,32.1,33.4,5.1,4.9,2.26,0.34,0.11,0.03,22,16,11.2,9.8,53,32,0,0,0.8,1.3,21,8
AG 1,89.3,72.5,7.2,9.5,3.5,17.9,5.5,5.1,0.5,0.16,0.02,0.02,55,34,1.2,2.5,52,14,0,0,1.7,1.6,25,8
AG 2,9.6,15.8,75.2,64.7,15.3,19.6,4.4,4.2,3.07,0.25,0.14,0.03,8,15,12.5,11.8,87,60,0,0,1.3,1.4,22,8
AG 3,35.2,32,17.9,24.8,47.2,43.2,5.2,5.1,1.99,0.38,0.18,0.02,16,11,14.1,11.6,36,28,0,0,0.8,1.3,20,8
AH,31.3,27.1,24.8,25.1,43.8,47.8,5,5.4,3.34,1.49,0.29,0.14,20,16,18,17.9,22,24,0,0,1,1,12,12
AH 1,72.8,71.9,14.6,10.6,12.6,17.4,5,5,1.58,0.9,0.28,0.12,6,5,28.4,28,30,30,0,0,1.6,1.5,6,8
AH 2,52.4,45.4,27.9,33,19.6,21.5,5.1,5.7,4.46,1.95,0.36,0.17,4,6,7.3,1.9,32,7,0,0,1.3,1.3,15,15
AH 3,9.2,7.4,26.1,22.2,64.8,70.4,5,5.3,2.88,1.25,0.25,0.13,27,21,18.1,19.4,22,24,0,0,1,1,11,11
AO,53.6,43.4,15.8,16,30.6,40.6,5.1,5.2,2.25,0.75,0.18,0.07,39,32,7.6,7.5,35,23,0,0,1.3,1.3,14,12
AO 1,82.3,68.1,8.6,11.4,9.2,20.5,5,5.1,0.3,0.21,0.06,0.02,41,41,4.1,5.4,47,30,0,0,1.6,1.6,5,11
AO 2,51,41.3,21.6,17.2,27.4,41.5,5.3,5,1.73,0.73,0.13,0.08,53,34,7.7,7.8,47,21,0,0,1.5,1.4,12,10
AO 3,33,28.9,14.2,15.5,52.9,55.6,5.2,5.4,1.84,0.89,0.12,0.07,31,28,8.6,6.8,15,12,0,0,1.2,1.2,17,14
AP,57,46.2,15.6,17.1,27.1,36.8,5.3,5,1.09,0.26,0.09,0.03,31,17,6,5.7,33,16,0,0,1.2,1.4,12,10
AP 1,80,65.1,12,14.6,7.8,20.3,5.6,5,0.69,0.2,0.05,0.02,40,19,3,3.2,34,13,0,0,1.7,1.7,12,10
AP 2,58.7,45.4,16.3,17.4,25,37.1,5.8,5.6,0.87,0.29,0.07,0.03,28,20,6,6.8,29,18,0,0,1.4,1.4,12,10
AP 3,10.4,8.8,22.7,22,66.7,69.6,4.5,4.6,2.91,0.49,0.23,0.05,17,13,12.1,10.2,32,20,0,0,1.2,1.4,13,10
B,60.4,60,17,16.6,22.5,23.4,6.9,7.2,1.17,0.57,0.25,0.12,79,80,14.2,12.7,51,47,2.1,4.3,1.2,1.3,12,11
BC,40.1,41.8,21.5,22.7,38.4,35.5,5.7,5.8,1.44,0.74,0.17,0.09,67,68,15.7,18.9,54,54,0.5,0.5,0.8,0.7,10,9
BC 1,80,60,10,25,10,15,5.6,5.7,1,0.5,0.1,0.06,40,45,7.8,12,77,80,0,0,1.3,1.4,10,8
BC 2,56.7,56.8,23.6,20.6,19.8,22.5,5.8,5.9,1.22,0.61,0.13,0.08,81,82,15.6,18.1,74,68,1,1.1,1.1,1.2,10,8
BC 3,15.3,19.3,18.5,25.7,66.3,55,5.6,5.6,1.77,0.93,0.24,0.12,47,48,15.9,20,24,39,0,0,0.8,0.7,11,10
BD,32.7,29.8,30.3,37.6,37.1,32.3,4.9,5.3,3.28,0.87,0.23,0.05,16,20,19.1,14.1,53,39,0,0,0.8,0.9,12,15
BD 1,70,65,20,20,10,15,4.8,5.2,3,1,0.2,0.1,15,20,6.8,9.5,64,62,0,0,1.3,1.4,15,10
BD 2,39.9,38.2,34.1,38.4,26,22.7,5.4,5.8,4.26,1.33,0.29,0.06,23,33,17.6,14.4,67,59,0,0,0.7,0.9,15,10
BD 3,27.8,24.2,27.8,37,44.4,38.8,4.6,5,2.62,0.57,0.21,0.04,12,11,20.1,13.8,43,20,0,0,1,1,12,17
BE,36.4,41.7,37.2,32.1,26.4,26.3,6.9,7.1,1.07,0.51,0.18,0.04,88,88,20.7,19.9,62,55,0.7,1.1,1.4,1.3,9,13
BE 1,84.5,78.3,6.1,7.6,10.4,15.4,6.7,6.6,0.2,0.2,0.02,0.02,65,66,8.9,12.5,78,76,0,0,1.3,1.4,10,10
BE 2,36.4,40.4,41.1,35.2,22.5,24.4,6.9,7,1.26,0.56,0.21,0.04,88,87,19.3,19.7,63,54,0.4,0.7,1.4,1.3,10,10
BE 3,18.8,22.7,35.7,35.5,45.4,41.6,7.1,7.4,0.68,0.25,0.17,0.03,91,96,25.2,22.4,53,51,2.7,6,1,1.1,8,8
BF,34.2,31.5,15.5,18.7,50.2,50,5,5.2,2.76,0.72,0.21,0.11,16,28,12.8,9.3,21,15,0,0,0.9,1,8,6
BF 1,82.2,89.5,10,8.3,8,3.2,4.6,4.8,2,0.75,0.13,0.09,9,26,5.9,3.8,14,6,0,0,1.2,1.3,15,8
BF 2,60,50,12,14,28,36,4.9,5,2.5,0.75,0.2,0.09,15,25,12.8,9.3,43,25,0,0,1.1,1.2,12,8
BF 3,22.3,17,16.9,21.3,60.7,61.7,5.1,5.2,3.22,0.75,0.26,0.09,16,24,14.7,9.9,22,16,0,0,0.9,1,12,8
BG,34.2,35.3,20.4,16.1,45.4,48.4,5.9,5.8,1.82,1.31,0.23,0.18,52,45,20.1,16.9,51,42,0.8,0.8,1.7,1.8,11,9
BG 1,78.9,76.4,8.2,7.2,12.4,15.6,4.9,4.9,0.9,0.21,0.06,0.03,18,11,6,4.9,42,32,0,0,1.7,1.8,15,7
BG 2,71.3,75.5,3.7,2.3,25,22.2,7.4,7.6,0.18,0.1,0.01,0.01,89,91,23.2,19,90,84,4.1,4.1,1.5,1.6,15,8
BG 3,6.9,8.3,30,23.7,63.1,68.1,5.8,5.5,2.68,2.09,0.28,0.22,51,40,23.8,20.2,41,31,0,0,1.4,1.6,10,10
BH,55.2,60.4,21,16.5,23.8,23.2,5.3,5.8,3.86,1.78,0.47,0.21,38,39,17.9,12.9,50,48,0,0,0.9,1,11,11
BH 1,82.5,81.1,6.1,2.9,11.6,16.1,5.7,7,0.95,0.25,0.14,0.05,71,95,4.8,14.4,60,63,0,0,1.1,1.2,12,8
BH 2,54.2,53.4,25.7,21.1,20.1,25.6,5.2,5.5,5.11,2.52,0.54,0.25,31,29,18.4,11.9,49,48,0,0,0.9,1,11,13
BH 3,35,34,35,30,30,36,5.7,5.6,3.45,1.12,0.43,0.17,44,30,28.3,17.3,42,31,0,0,0.9,1,8,7
BK,81.6,81.6,6.8,6.7,11.7,11.8,7.6,8.2,0.44,0.22,0.19,0.09,95,97,7.6,6.3,48,46,3.7,10.2,1.4,1.5,14,5
BK 1,88.2,86.2,4.2,4.4,7.7,9.4,7.7,8.2,0.26,0.18,0.03,0.03,95,96,4.7,4.5,48,45,1.5,4.4,1.3,1.4,10,6
