grid_code,FAOSOIL,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
2,GL,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,CAN,Canada,CAN.8_1,Nunavut,Territory
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
2,GL,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,Rx1-2c,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
