,GID_0,NAME_0,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN
GRL.2_1,GRL,Greenland,Northeast Greenland National Park,National Park,82.5,9.900000000000002,7.700000000000001,1.6999999999999997,10.0
CAN.8_1,CAN,Canada,Nunavut,Territory,78.75753424657533,11.360654490106548,9.971461187214613,1.6547031963470318,10.221461187214611
GRL.3_1,GRL,Greenland,Qaasuitsup,Commune,82.5,9.9,7.700000000000001,1.6999999999999997,10.0
RUS.35_1,RUS,Russia,Krasnoyarsk,Territory,47.273351099267146,30.058560959360424,22.67408394403731,2.846822118587608,13.79147235176549
CAN.6_1,CAN,Canada,Northwest Territories,Territory,56.630341340075844,23.671681415929203,19.7614412136536,9.366839443742098,16.553729456384325
RUS.4_1,RUS,Russia,Arkhangel'sk,Region,57.57777777777777,31.877366255144032,10.607407407407406,2.681481481481481,16.83127572016461
RUS.60_1,RUS,Russia,Sakha,Republic,49.326919087136915,25.82064315352697,24.85539419087137,1.6814782157676351,12.983402489626556
RUS.80_1,RUS,Russia,Yamal-Nenets,Autonomous Province,42.439909297052154,30.28390022675737,27.285941043083902,9.48562358276644,19.972789115646258
RUS.12_1,RUS,Russia,Chukot,Autonomous Province,55.09355555555555,21.337333333333326,23.56911111111111,2.479977777777777,13.24
GRL.5_1,GRL,Greenland,Sermersooq,Commune,82.5,9.9,7.7,1.7,10.0
USA.2_1,USA,United States,Alaska,State,38.217548076923066,22.911057692307693,38.88028846153846,2.569651442307692,12.088942307692308
NOR.5_1,NOR,Norway,Finnmark,County,67.00000000000003,27.450000000000006,5.7299999999999995,1.5819999999999996,15.5
RUS.46_1,RUS,Russia,Nenets,Autonomous Province,65.99047619047619,21.141904761904758,12.945714285714283,17.406761904761904,23.152380952380952
NOR.17_1,NOR,Norway,Troms,County,61.90000000000001,20.366666666666664,17.799999999999997,1.1966666666666665,12.666666666666666
FIN.2_1,FIN,Finland,Lapland,Province,56.375,31.970588235294112,11.777941176470588,17.060441176470587,29.647058823529413
RUS.45_1,RUS,Russia,Murmansk,Region,63.76597938144328,28.834020618556693,7.562886597938145,6.300103092783505,19.814432989690722
CAN.13_1,CAN,Canada,Yukon,Territory,43.54117647058823,30.546691176470578,25.912132352941182,1.3569485294117647,9.808823529411764
NOR.10_1,NOR,Norway,Nordland,County,64.62727272727275,24.154545454545453,11.345454545454546,1.4027272727272724,14.181818181818182
SWE.10_1,SWE,Sweden,Norrbotten,County,64.27313432835818,23.662686567164176,12.183582089552237,1.3759701492537317,13.985074626865671
RUS.32_1,RUS,Russia,Komi,Republic,64.8011952191235,27.330677290836654,7.965737051792829,4.746374501992032,18.89243027888446
GRL.4_1,GRL,Greenland,Qeqqata,Commune,82.5,9.9,7.699999999999999,1.7,10.0
ISL.2_1,ISL,Iceland,H?�lshreppur,Region,59.58181818181818,18.45454545454545,21.963636363636365,1.310909090909091,11.0
FIN.3_1,FIN,Finland,Oulu,Province,54.04736842105264,33.45789473684211,12.610526315789475,20.87105263157894,33.26315789473684
RUS.26_1,RUS,Russia,Karelia,Republic,61.21136363636363,32.67045454545455,6.286363636363635,6.814318181818183,20.613636363636363
ISL.7_1,ISL,Iceland,Vestfir??ir,Region,60.7,18.7,20.639999999999997,1.1059999999999999,12.0
ISL.4_1,ISL,Iceland,Nor??urland vestra,Region,63.07142857142857,22.628571428571426,14.357142857142858,1.2871428571428574,12.428571428571429
ISL.1_1,ISL,Iceland,Austurland,Region,62.75714285714286,21.557142857142853,15.771428571428572,1.2614285714285713,13.142857142857142
SWE.18_1,SWE,Sweden,V?�sterbotten,County,66.53636363636365,26.80606060606061,6.827272727272727,1.5469696969696969,15.242424242424242
RUS.40_1,RUS,Russia,Maga Buryatdan,Region,56.532015810276675,19.05691699604743,24.41106719367589,1.373320158102767,11.367588932806324
ISL.8_1,ISL,Iceland,Vesturland,Region,65.65,25.575,8.925,1.4799999999999998,14.75
RUS.30_1,RUS,Russia,Khanty-Mansiy,Autonomous Province,38.84006849315068,35.909246575342465,25.28013698630137,18.378287671232876,28.904109589041095
ISL.5_1,ISL,Iceland,Su??urland,Region,61.20833333333332,20.974999999999994,17.833333333333336,1.4108333333333336,11.416666666666666
NOR.9_1,NOR,Norway,Nord-Tr??ndelag,County,67.89999999999999,28.699999999999996,3.6000000000000005,1.6499999999999997,16.0
SWE.6_1,SWE,Sweden,J?�mtland,County,63.83548387096776,26.42580645161291,9.880645161290326,1.4590322580645159,14.419354838709678
RUS.24_1,RUS,Russia,Kamchatka,Territory,53.824999999999996,22.41339285714285,23.76160714285714,3.8821874999999997,13.901785714285714
ISL.3_1,ISL,Iceland,H??fu??borgarsv?�??i,Region,55.2,21.0,23.8,3.86,11.0
NOR.15_1,NOR,Norway,S??r-Tr??ndelag,County,67.9,28.7,3.6,1.65,16.0
